rater_name,rater_role,case_id,item_label,clinical_correctness,relevance,consistency,educational_usefulness,clarity,overall_avg,comment,exported_at
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10080071_18010,Item 1,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10080071_18010,Item 2,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10314776_6145,Item 1,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10314776_6145,Item 2,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10408637_60050,Item 1,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10408637_60050,Item 2,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10419215_35979,Item 1,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10419215_35979,Item 2,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10547563_61111,Item 1,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10547563_61111,Item 2,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10830907_64893,Item 1,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC10830907_64893,Item 2,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC11091619_67673,Item 1,5,5,5,4,5,4.8,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC11091619_67673,Item 2,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC11329954_62613,Item 1,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC11329954_62613,Item 2,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC11754817_71967,Item 1,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC11754817_71967,Item 2,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
LLM-Judge (gemini-3.1-flash-lite),LLM-Judge,PMC11795214_71171,Item 1,5,5,5,5,5,5,,2026-07-26T12:40:20.080938+00:00
